Academic Period,Calendar Year,Gender,Student Type,Major Type,Full_Part Time,Ethnicity,Term,Major,Age_Group
Spring  2024,2024,Male,Transfer Student,Technical,Part-Time,HISPANIC,202420,Cyber Defense and Operations,40-49
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Kinesiology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Engineering,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Mechanical Engineering,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Social Work,18-24
Spring  2024,2024,Female,Transfer Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Computer Science,25-29
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,Under 18
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Professional,40-49
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Full-Time,HISPANIC,202420,Health Information Technology,25-29
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Info Assurance & Cybersecurity,25-29
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,HISPANIC,202420,"TX Teacher EC-6, 4-8, & EC-12",18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Dual Credit,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Engineering,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,WHITE,202420,Liberal Arts,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Criminal Justice,18-24
Spring  2024,2024,Male,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,"TX Teacher EC-6, 4-8, & EC-12",40-49
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Health Information Technology,50-59
Spring  2024,2024,Male,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Kinesiology,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,WHITE,202420,Dual Credit,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Full-Time,HISPANIC,202420,Criminal Justice,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Business Administration,18-24
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,Architecture,18-24
Spring  2024,2024,Female,Dual Credit Student,Academic,Part-Time,HISPANIC,202420,Liberal Arts,Under 18
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,WHITE,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Health Professions - Academy,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology,30-34
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,ASIAN,202420,Biology/Pre-Nursing,35-39
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,INTERNATIONAL,202420,Biology/Pre-Nursing,35-39
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,HISPANIC,202420,Occupational Therapy Assistant,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,MULTI AFR AMER,202420,Biology/Pre-Nursing,25-29
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Nursing,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,HISPANIC,202420,Biology/Pre-Professional,18-24
Spring  2024,2024,Female,Continuing Student,Technical,Part-Time,UNKNOWN,202420,Medical Laboratory Tech,30-34
Spring  2024,2024,Male,Continuing Student,Technical,Part-Time,HISPANIC,202420,EMT - Paramedic,18-24
Spring  2024,2024,Female,Continuing Student,Academic,Part-Time,BLACK AFR AMER,202420,Biology,18-24
