"Term","Student ID","Major Desc"
202420,900287639,"Biology/Pre-Nursing"
202420,900872917,"Biology/Pre-Nursing"
202420,900699919,"International Studies"
202420,901084206,"Computer Science"
202420,900995676,"Biology/Pre-Professional"
202420,901162370,"Business Management & Tech"
202420,901260531,"Biology/Pre-Professional"
202420,901261775,"Biology/Pre-Nursing"
202420,901282071,"Biology/Pre-Professional"
202420,901304596,"Kinesiology"
202420,901179061,"Computer Science"
202420,900998097,"Cyber Defense and Operations"
202420,901346907,"Biology/Pre-Nursing"
202420,901362227,"Kinesiology"
202420,901362243,"Biology/Pre-Nursing"
202420,901364417,"Human Resources Management"
202420,901388016,"Biology/Pre-Professional"
202420,901206902,"Biology/Pre-Nursing"
202420,901397604,"Biology/Pre-Nursing"
202420,901343003,"Biology/Pre-Professional"
202420,901394788,"Digital Video & Cinema Prod"
202420,901406667,"Psychology"
202420,901403271,"Biology/Pre-Nursing"
202420,900704249,"Bookkeeping Specialist"
202420,901423529,"Psychology"
202420,900912537,"Biology/Pre-Nursing"
202420,900804301,"Business Administration"
202420,901444669,"Cosmetology Operator"
202420,901065640,"Dual Credit"
202420,901119163,"Dual Credit"
202420,901451153,"Business Administration"
202420,901451688,"Business Management & Tech"
202420,901411277,"Dual Credit"
202420,901458256,"Dual Credit"
202420,901460363,"Liberal Arts"
202420,901469369,"Liberal Arts"
202420,901477440,"Dual Credit"
202420,901438490,"Liberal Arts"
202420,901478397,"Digital Video & Cinema Prod"
202420,901420194,"Biology/Pre-Nursing"
202420,901361559,"Diagnostic Medical Sonography"
202420,901482671,"Welding Entry-Level"
202420,901483350,"Biology/Pre-Nursing"
202420,901298358,"Computer Science"
202420,901484878,"Computer Science"
202420,901487373,"Environmental Science"
202420,901496134,"Biology/Pre-Professional"
202420,901496085,"Business Administration"
202420,901481177,"Engineering"
202420,901492012,"Engineering"
202420,901493509,"Biology/Pre-Nursing"
202420,901494683,"Dual Credit"
202420,901498075,"Dual Credit"
202420,900035935,"Biology/Pre-Nursing"
202420,901499812,"Dual Credit"
202420,901501235,"Dual Credit"
202420,901503965,"Dual Credit"
202420,901504231,"Dual Credit"
202420,901510249,"Dual Credit"
202420,901512041,"Dual Credit"
202420,901513209,"Architecture"
202420,900420760,"Music"
202420,901450276,"Health Professions Degree"
202420,901526198,"Music"
202420,901526064,"Liberal Arts"
202420,901526850,"Liberal Arts"
202420,901531659,"Human Services-Drug/Alcohol"
202420,901532292,"Kinesiology"
202420,901535192,"Dual Credit"
202420,901459926,"Computer Science"
202420,901541479,"Biology/Pre-Nursing"
202420,901542206,"Automotive Technology"
202420,901383621,"Biology/Pre-Nursing"
202420,901545444,"Computer Science"
202420,901550289,"Dual Credit"
202420,901281587,"Biology/Pre-Nursing"
202420,901551816,"Dual Credit"
202420,901556853,"Dual Credit"
202420,901520878,"Accounting Technology"
202420,901324950,"Vocational Nursing"
202420,901558405,"Liberal Arts"
202420,901559044,"Journalism"
202420,901561577,"Computer Science"
202420,901563637,"Criminal Justice"
202420,901269940,"Business Management"
202420,901563871,"Liberal Arts"
202420,901564727,"Biology/Pre-Professional"
202420,901381653,"Mechanical Engineering"
202420,901565924,"Liberal Arts"
202420,901567944,"Adv Manufacturing Tech, (AMT)"
202420,901572569,"Biology/Pre-Nursing"
202420,901355957,"Psychology"
202420,900889842,"Radio-Television-Broadcasting"
202420,901510640,"Dual Credit"
202420,901583775,"Business Administration"
202420,900423800,"Business Administration"
